category,metric,value
performance,total_return,3.664958669901069
performance,gross_total_return,4.040011048003038
performance,net_total_return,3.664958669901069
performance,benchmark_total_return,2.6176698027634453
performance,cagr,0.15933617869099925
performance,annualized_volatility,0.1802324473503513
performance,downside_volatility,0.12834149560349287
performance,sharpe_ratio,0.911089873480692
performance,sortino_ratio,1.2794611507478648
performance,calmar_ratio,0.42416331191287304
performance,omega_ratio,1.1906728241598954
performance,max_drawdown,-0.3756481860074884
performance,var_95_daily,-0.016806675424122574
performance,cvar_95_daily,-0.027224610006663808
benchmark,alpha_annualized,0.03445720968761047
benchmark,beta,0.9288942403652234
benchmark,correlation,0.9264758490272609
benchmark,r_squared,0.8583574988307839
benchmark,tracking_error,0.06902508318719107
benchmark,information_ratio,0.3553047917740905
benchmark,up_capture,0.9401289771383011
benchmark,down_capture,0.9019911932188449
portfolio,average_turnover,0.5799765643192307
portfolio,average_number_of_holdings,30.0
portfolio,cost_drag,0.37505237810196856
portfolio,max_adv_participation,0.006176665113341717
portfolio,average_holding_period_days,1247.1237113402062
portfolio,estimated_capacity,16189966.294918282
portfolio,average_hhi,0.033421914907877145
portfolio,average_effective_holdings,29.92075820957089
