sector,portfolio_linked_contribution,benchmark_linked_contribution,active_linked_contribution
Utilities,0.0860523188559491,-0.1356185032052665,0.22167082206121563
Information Technology,1.3660666724059303,1.1649159383723255,0.20115073403360462
Health Care,0.3977233919666413,0.2627451094878848,0.13497828247875646
Financials,0.516668102767529,0.4737716056788233,0.04289649708870563
Real Estate,0.061676581532380724,0.04105647034116375,0.02062011119121698
Consumer Staples,0.13288194148616014,0.15389482238421376,-0.02101288089805364
Energy,0.08174081013815476,0.12604698436769396,-0.04430617422953922
Industrials,0.12944032468011926,0.24654391917962426,-0.11710359449950497
Consumer Discretionary,0.7532492749011422,0.9019476554988436,-0.1486983805977013
Transaction Costs,-0.17095436783893286,0.0,-0.17095436783893286
Materials,0.0767877174752591,0.2750159790295224,-0.1982282615542633
Communication Services,0.23362590153073448,0.44811192514215276,-0.2144860236114183
