start_date,trough_date,recovery_date,max_drawdown,duration_days
2016-01-29,2016-02-11,2016-02-17,-0.04358980172477267,19
2016-02-17,2016-02-18,2016-02-19,-0.003375771949416184,2
2016-02-22,2016-02-23,2016-02-25,-0.010633707897683808,3
2016-02-25,2016-02-29,2016-03-01,-0.0069121537610387085,5
2016-03-07,2016-03-08,2016-03-11,-0.008984501542424694,4
2016-03-11,2016-03-15,2016-03-16,-0.004252124866470086,5
2016-03-18,2016-03-24,2016-03-30,-0.012171852070381739,12
2016-03-30,2016-03-31,2016-04-01,-0.0002886857628459083,2
2016-04-01,2016-04-07,2016-04-13,-0.01598229343287294,12
2016-04-13,2016-04-14,2016-04-18,-0.00197335184785985,5
2016-04-19,2016-04-21,2016-04-27,-0.008951703690258994,8
2016-04-27,2016-05-23,2016-06-08,-0.03498843443574162,42
2016-06-08,2016-06-14,2016-06-23,-0.016708918128978567,15
2016-06-23,2016-06-27,2016-07-01,-0.04928883128031614,8
2016-07-01,2016-07-05,2016-07-08,-0.005457446139714772,7
2016-07-14,2016-07-19,2016-07-20,-0.0026408563421325137,6
2016-07-20,2016-07-21,2016-07-26,-0.006445293339771618,6
2016-07-26,2016-08-02,2016-08-18,-0.012424134128068198,23
2016-08-23,2016-08-31,2016-09-06,-0.007988567704435123,14
2016-09-07,2016-11-04,2016-12-08,-0.0641157001812368,92
2016-12-09,2016-12-12,2016-12-13,-0.004957370826175533,4
2016-12-13,2016-12-30,2017-02-10,-0.02641227652664646,59
2017-02-15,2017-02-16,2017-02-17,-0.0009988486822862797,2
2017-02-21,2017-02-23,2017-02-27,-0.003425050782458361,6
2017-02-27,2017-02-28,2017-03-01,-0.0019547296000049785,2
2017-03-01,2017-04-13,2017-05-05,-0.0343663744083873,65
2017-05-05,2017-05-17,2017-05-25,-0.022104396131606863,20
2017-05-25,2017-05-30,2017-06-01,-0.0032732020473262846,7
2017-06-02,2017-06-12,2017-06-19,-0.011972023705256074,17
2017-06-19,2017-07-06,2017-07-14,-0.01999724578890416,25
2017-07-14,2017-07-18,2017-07-19,-0.0002681189071016554,5
2017-07-19,2017-07-20,2017-07-21,-0.0004985440613101133,2
2017-07-21,2017-08-18,2017-09-11,-0.032595297789860145,52
2017-09-20,2017-09-21,2017-09-22,-0.0012373126332341222,2
2017-09-22,2017-09-25,2017-09-27,-0.0031391506319004003,5
2017-10-05,2017-10-06,2017-10-10,-0.001548052095232122,5
2017-10-18,2017-10-19,2017-10-20,-0.0012649783613338794,2
2017-10-23,2017-10-25,2017-10-26,-0.005423995995737507,3
2017-10-27,2017-10-30,2017-11-03,-0.006801741625234614,7
2017-11-06,2017-11-07,2017-11-08,-0.0006352608918328562,2
2017-11-08,2017-11-09,2017-11-13,-0.004393091206962074,5
2017-11-13,2017-11-15,2017-11-16,-0.007553460215922403,3
2017-11-16,2017-11-17,2017-11-20,-0.002328387791682096,4
2017-11-21,2017-11-22,2017-11-24,-0.002195997670288441,3
2017-11-24,2017-11-27,2017-11-28,-0.0008916897974430293,4
2017-11-28,2017-11-29,2017-11-30,-0.003722582623512105,2
2017-11-30,2017-12-06,2017-12-08,-0.013794569514047672,8
2017-12-08,2017-12-14,2017-12-15,-0.007292305520018805,7
2017-12-18,2017-12-19,2017-12-20,-0.0017359203680074042,2
2017-12-20,2017-12-26,2017-12-27,-0.0009369244109371788,7
2017-12-28,2017-12-29,2018-01-02,-0.00597401848107304,5
2018-01-09,2018-01-10,2018-01-11,-0.0025344465025841645,2
2018-01-12,2018-01-16,2018-01-17,-0.005682375378648796,5
2018-01-17,2018-01-18,2018-01-19,-0.0023558184266492255,2
2018-01-23,2018-01-25,2018-01-26,-0.0020771908262814387,3
2018-01-26,2018-02-08,2018-06-06,-0.10516584168927468,131
2018-06-06,2018-06-07,2018-06-08,-0.004021158764292099,2
2018-06-12,2018-07-03,2018-07-25,-0.042771306988813707,43
2018-07-26,2018-07-30,2018-08-07,-0.022643418022483264,12
2018-08-08,2018-08-13,2018-08-20,-0.012420033770602745,12
2018-08-29,2018-08-30,2018-08-31,-0.002509392680251077,2
2018-09-04,2018-12-24,2019-07-12,-0.20864713084782183,311
2019-07-12,2019-07-19,2019-07-26,-0.014236974981083117,14
2019-07-26,2019-08-05,2019-09-05,-0.04964323381187463,41
2019-09-06,2019-10-02,2019-10-29,-0.043614448216034774,53
2019-10-30,2019-10-31,2019-11-01,-0.004282791549118925,2
2019-11-01,2019-11-05,2019-11-08,-0.003564868423780454,7
2019-11-08,2019-11-11,2019-11-12,-0.0006768916807309289,4
2019-11-19,2019-11-21,2019-11-25,-0.006437411449622066,6
2019-11-27,2019-12-03,2019-12-12,-0.018380647660604432,15
2019-12-12,2019-12-13,2019-12-16,-0.002076617588286478,4
2019-12-17,2019-12-18,2019-12-19,-0.0020019346860579157,2
2019-12-20,2019-12-23,2019-12-26,-0.002445491952466128,6
2019-12-26,2019-12-30,2020-01-02,-0.00791018253855802,7
2020-01-02,2020-01-03,2020-01-09,-0.006567194381249752,7
2020-01-09,2020-01-10,2020-01-13,-0.0019949840423668652,4
2020-01-13,2020-01-15,2020-01-16,-0.0006113792214276215,3
2020-01-17,2020-01-21,2020-01-23,-0.003620682381385909,6
2020-01-23,2020-01-31,2020-02-11,-0.040014115539492856,19
2020-02-12,2020-02-13,2020-02-14,-0.00013707684566255374,2
2020-02-14,2020-02-18,2020-02-19,-0.0010345451386873927,5
2020-02-19,2020-03-23,2020-09-02,-0.38466304221067116,196
2020-09-02,2020-09-23,2020-10-12,-0.08133059715613677,40
2020-10-12,2020-10-30,2020-11-24,-0.07906910344674944,43
2020-11-24,2020-11-25,2020-11-27,-0.0004013552066990389,3
2020-11-27,2020-11-30,2020-12-01,-0.0008401016570488418,4
2020-12-01,2020-12-03,2020-12-04,-0.005413627995156323,3
2020-12-04,2020-12-07,2020-12-08,-0.0010308277279781342,4
2020-12-08,2020-12-14,2020-12-17,-0.015398984140675087,9
2020-12-17,2021-01-04,2021-01-06,-0.015125151827569017,20
2021-01-08,2021-01-11,2021-01-12,-0.0007072285018605573,4
2021-01-12,2021-01-13,2021-01-14,-0.00354199724512827,2
2021-01-14,2021-01-15,2021-01-19,-0.00953392833461042,5
2021-01-20,2021-01-29,2021-02-08,-0.05283218753951546,19
2021-02-10,2021-02-11,2021-02-12,-0.00259613892684607,2
2021-02-16,2021-02-18,2021-02-19,-0.008427681685121424,3
2021-02-19,2021-02-23,2021-02-24,-0.00855081298279936,5
2021-02-24,2021-03-04,2021-03-11,-0.042868834086523755,15
2021-03-15,2021-03-24,2021-03-26,-0.02844932678747658,11
2021-03-26,2021-03-29,2021-04-01,-0.0052770705071498725,6
2021-04-06,2021-04-07,2021-04-09,-0.004361691802602818,3
2021-04-12,2021-04-13,2021-04-15,-0.0019471732073977899,3
2021-04-16,2021-04-20,2021-04-29,-0.019294796078497933,13
2021-04-29,2021-04-30,2021-05-05,-0.008044735551916093,6
2021-05-07,2021-05-12,2021-06-01,-0.04270754936517707,25
2021-06-04,2021-06-07,2021-06-08,-0.0018055810934110017,4
2021-06-08,2021-06-18,2021-07-12,-0.04589966943553814,34
2021-07-12,2021-07-19,2021-07-29,-0.04035935940715285,17
2021-07-29,2021-08-02,2021-08-03,-0.00788697099232416,5
2021-08-03,2021-08-04,2021-08-06,-0.006870666383392621,3
2021-08-16,2021-08-19,2021-08-25,-0.030542156615587346,9
2021-08-25,2021-08-26,2021-08-27,-0.007463151575463733,2
2021-08-27,2021-10-04,2021-10-22,-0.05665995344791974,56
2021-10-26,2021-10-27,2021-10-29,-0.011663062293899684,3
2021-11-01,2021-11-02,2021-11-03,-0.002148691412296122,2
2021-11-03,2021-11-04,2021-11-08,-0.006980102869168614,5
2021-11-08,2021-11-10,2021-11-12,-0.010693408355671896,4
2021-11-12,2021-11-15,2021-11-16,-0.0009473308929158764,4
2021-11-16,2021-11-19,2021-11-23,-0.004863528956669305,7
2021-11-23,2021-12-01,2021-12-15,-0.04890736868842405,22
2021-12-15,2021-12-20,2021-12-22,-0.01821338755228341,7
2021-12-27,2021-12-28,2021-12-29,-0.0010465003768960202,2
2021-12-29,2022-01-03,2022-01-04,-0.004596503290672738,6
2022-01-04,2022-09-30,2024-01-11,-0.2319326253817987,737
2024-01-11,2024-01-17,2024-01-19,-0.013672671629761823,8
2024-01-22,2024-01-24,2024-01-25,-0.0022554203974289866,3
2024-01-25,2024-01-26,2024-01-29,-0.00022722673978670116,4
2024-01-30,2024-01-31,2024-02-01,-0.008343521318790015,2
2024-02-01,2024-02-05,2024-02-08,-0.0069097802875808245,7
2024-02-08,2024-02-09,2024-02-12,-0.00047351402796869113,4
2024-02-12,2024-02-13,2024-02-15,-0.013057188319861579,3
2024-02-15,2024-02-20,2024-02-22,-0.008270716925716126,7
2024-02-23,2024-02-26,2024-02-27,-0.0012984688063485406,4
2024-02-27,2024-02-28,2024-02-29,-0.0017389651646831927,2
2024-03-04,2024-03-05,2024-03-06,-0.00192299245525962,2
2024-03-07,2024-03-11,2024-03-12,-0.006016521082548021,5
2024-03-13,2024-03-15,2024-03-19,-0.008561120281287637,6
2024-03-21,2024-03-26,2024-03-27,-0.008294794836351205,6
2024-03-28,2024-04-19,2024-06-18,-0.0597380740952711,82
2024-06-18,2024-07-01,2024-07-10,-0.015646478416779908,22
2024-07-10,2024-07-11,2024-07-12,-0.0012467568499275883,2
2024-07-16,2024-08-05,2024-08-21,-0.07224786599996558,36
2024-08-21,2024-08-22,2024-08-23,-0.006210785676394881,2
2024-08-23,2024-08-26,2024-08-27,-0.0009908857709152175,4
2024-08-27,2024-08-29,2024-08-30,-0.005610358272636118,3
2024-08-30,2024-09-06,2024-09-16,-0.033822781424803106,17
2024-09-17,2024-09-18,2024-09-19,-0.0035543656297059023,2
2024-09-19,2024-09-20,2024-09-23,-0.0028668167375647258,4
2024-09-24,2024-09-25,2024-09-26,-0.002432546065192609,2
2024-09-30,2024-10-03,2024-10-08,-0.009973127349255817,8
2024-10-09,2024-10-10,2024-10-11,-0.0020535911931134354,2
2024-10-14,2024-10-15,2024-10-16,-0.005678529899668661,2
2024-10-16,2024-10-31,2024-11-06,-0.018278099751746657,21
2024-11-06,2024-11-07,2024-11-08,-7.823908032045246e-05,2
2024-11-11,2024-11-15,2024-11-21,-0.015149101310513058,10
2024-11-26,2024-11-27,2024-11-29,-0.0032507001838569805,3
2024-11-29,2024-12-18,2025-01-21,-0.05782230235526464,53
2025-01-23,2025-04-08,2025-09-11,-0.1841001328624854,231
2025-09-11,2025-09-16,2025-09-22,-0.009268414315248719,11
2025-09-23,2025-09-25,2025-09-30,-0.010047943430335327,7
2025-10-03,2025-10-10,2025-10-24,-0.04272705719054326,21
2025-10-27,2025-11-04,2025-11-12,-0.03290552112170397,16
2025-11-12,2025-11-20,2025-12-04,-0.05719986714257852,22
2025-12-05,2025-12-08,2025-12-10,-0.0047564211259654154,5
2025-12-11,2025-12-17,2025-12-22,-0.024388829059542094,11
2025-12-24,2025-12-31,2026-01-05,-0.01645928063420965,12
2026-01-06,2026-01-07,2026-01-09,-0.005668525441454131,3
2026-01-13,2026-01-14,2026-01-15,-0.0014273726526362607,2
2026-01-15,2026-02-05,2026-02-11,-0.02966147298739419,27
2026-02-11,2026-02-12,2026-02-18,-0.014673275592960167,7
2026-02-18,2026-02-19,2026-02-20,-0.0031867939702907577,2
2026-02-20,2026-02-23,2026-02-26,-0.015710216861489767,6
2026-02-27,2026-03-30,2026-04-08,-0.06842912294877579,40
2026-04-09,2026-04-10,2026-04-13,-0.009301369656102287,4
2026-04-14,2026-04-15,2026-04-16,-0.0024564736532536324,2
2026-04-17,2026-04-21,2026-04-23,-0.003036685176288967,6
2026-04-23,2026-04-28,2026-04-30,-0.006059619070678313,7
2026-05-01,2026-05-04,2026-05-05,-0.0033630145144720736,4
2026-05-06,2026-05-07,2026-05-08,-0.008795020512012752,2
2026-05-11,2026-05-18,2026-05-21,-0.011148669841219871,10
2026-05-26,2026-05-27,2026-05-29,-0.003200864723118757,3
2026-06-01,2026-06-10,,-0.04657454267054295,10
