sector,portfolio_linked_contribution,benchmark_linked_contribution,active_linked_contribution
Utilities,0.08802988088888863,-0.1356185032052665,0.22364838409415516
Health Care,0.37786710126579565,0.2627451094878848,0.1151219917779108
Industrials,0.29360575163946223,0.24654391917962426,0.047061832459838
Real Estate,0.0516016011733124,0.04105647034116375,0.010545130832148654
Consumer Staples,0.1406495210693719,0.15389482238421376,-0.013245301314841865
Financials,0.43819131178055226,0.4737716056788233,-0.035580293898271005
Energy,0.07308512250247926,0.12604698436769396,-0.05296186186521471
Transaction Costs,-0.14060214482572297,0.0,-0.14060214482572297
Materials,0.12212107093335425,0.2750159790295224,-0.15289490809616815
Information Technology,0.942510997774902,1.1649159383723255,-0.2224049405974235
Communication Services,0.12566018471262236,0.44811192514215276,-0.32245174042953045
Consumer Discretionary,0.46522997486942186,0.9019476554988436,-0.43671768062942173
