start_date,trough_date,recovery_date,max_drawdown,duration_days
2016-02-22,2016-02-23,2016-02-24,-0.0010589881810129098,2
2016-02-26,2016-02-29,2016-03-01,-0.005332562659702722,4
2016-03-04,2016-03-08,2016-03-11,-0.012940335029119732,7
2016-03-11,2016-03-15,2016-03-16,-0.002129882223269819,5
2016-03-21,2016-03-28,2016-03-29,-0.01003287221005622,8
2016-03-30,2016-04-11,2016-04-13,-0.016612851716203747,14
2016-04-14,2016-04-15,2016-04-18,-0.0009648332271182669,4
2016-04-20,2016-06-27,2016-07-14,-0.06786723516556836,85
2016-07-14,2016-07-15,2016-07-18,-0.0036677994939107172,4
2016-07-20,2016-07-21,2016-07-26,-0.005240624405494221,6
2016-07-26,2016-08-02,2016-08-04,-0.008406895839184969,9
2016-08-05,2016-08-10,2016-08-15,-0.005544733045906525,10
2016-08-15,2016-08-16,2016-08-17,-0.001795815603681361,2
2016-08-19,2016-08-24,2016-08-29,-0.005146427311730317,10
2016-08-30,2016-08-31,2016-09-02,-0.0013022977986917317,3
2016-09-06,2016-09-14,2016-09-28,-0.028784055557999122,22
2016-09-28,2016-09-29,2016-10-06,-0.010805092023925211,8
2016-10-06,2016-11-04,2016-11-17,-0.0438294311213796,42
2016-11-17,2016-11-18,2016-11-21,-0.0018391119902798625,4
2016-11-22,2016-11-23,2016-11-25,-0.003159885059524137,3
2016-11-25,2016-12-01,2016-12-07,-0.019125452290824407,12
2016-12-09,2016-12-12,2016-12-13,-0.003295923265703604,4
2016-12-13,2016-12-30,2017-01-06,-0.024758818207250233,24
2017-01-06,2017-01-09,2017-01-13,-0.0052373074119377305,7
2017-01-13,2017-01-19,2017-01-24,-0.005713901295675061,11
2017-01-25,2017-02-01,2017-02-14,-0.020712111480881923,20
2017-02-15,2017-02-16,2017-02-17,-0.0012952756834146983,2
2017-02-21,2017-02-22,2017-02-23,-0.0013276179637311536,2
2017-02-23,2017-02-24,2017-02-27,-0.0003287382167842523,4
2017-02-27,2017-02-28,2017-03-01,-0.0021354524048363688,2
2017-03-01,2017-03-07,2017-03-15,-0.014260664403986878,14
2017-03-15,2017-03-16,2017-03-17,-0.000495003035172692,2
2017-03-17,2017-04-13,2017-04-24,-0.027997340617763045,38
