factor_name,quantile,forward_return
accruals,1,0.012002357696270003
accruals,2,0.011969223023872452
accruals,3,0.011545260329048637
accruals,4,0.010829068565710585
accruals,5,0.013516423168788946
beta_to_spy,1,0.01608331627929381
beta_to_spy,2,0.012926324730634467
beta_to_spy,3,0.011068555301888033
beta_to_spy,4,0.009535830624319449
beta_to_spy,5,0.010244873715627864
book_to_market,1,0.012405320367063115
book_to_market,2,0.01069043242719836
book_to_market,3,0.011247019328805482
book_to_market,4,0.011456322302036099
book_to_market,5,0.014172095797563542
earnings_yield,1,0.011975856690243562
earnings_yield,2,0.009818008780653826
earnings_yield,3,0.012469391610853258
earnings_yield,4,0.011439611982664705
earnings_yield,5,0.01416138634859763
free_cash_flow_yield,1,0.011844949367982489
free_cash_flow_yield,2,0.009904464183122701
free_cash_flow_yield,3,0.01125518140058874
free_cash_flow_yield,4,0.012249102908735824
free_cash_flow_yield,5,0.014634763910571615
max_drawdown_252d,1,0.010509421574022475
max_drawdown_252d,2,0.011508905530722938
max_drawdown_252d,3,0.010801853199847123
max_drawdown_252d,4,0.012823267385681306
max_drawdown_252d,5,0.01423386434731429
momentum_12_1,1,0.01367912325647838
momentum_12_1,2,0.012322725484122455
momentum_12_1,3,0.010934543249058872
momentum_12_1,4,0.010347085579022799
momentum_12_1,5,0.012548891723265709
momentum_3m,1,0.012366342493116382
momentum_3m,2,0.012452113868586502
momentum_3m,3,0.011852750639821667
momentum_3m,4,0.010754179784425092
momentum_3m,5,0.01245199304924291
momentum_6m,1,0.01270349154391994
momentum_6m,2,0.012176522906507172
momentum_6m,3,0.011591882458850818
momentum_6m,4,0.010630955446129148
momentum_6m,5,0.012764682789098264
realized_vol_252d,1,0.015798930398293755
realized_vol_252d,2,0.012591825671844956
realized_vol_252d,3,0.010458391518385126
realized_vol_252d,4,0.00992259990854205
realized_vol_252d,5,0.011089328519856747
realized_vol_60d,1,0.016361222773729426
realized_vol_60d,2,0.011710558762776997
realized_vol_60d,3,0.010521133792367895
realized_vol_60d,4,0.009590059153664648
realized_vol_60d,5,0.011671034090559555
roe,1,0.013130105728297932
roe,2,0.011697721137946806
roe,3,0.011479104428647703
roe,4,0.010928444948294787
roe,5,0.012723916880592562
sales_yield,1,0.008721557507780175
sales_yield,2,0.01206524246013931
sales_yield,3,0.011995443762747832
sales_yield,4,0.012217445341740645
sales_yield,5,0.014964352338825808
