date,sector,portfolio_weight,internal_cap_benchmark_weight,active_weight
2016-02-23,Communication Services,0.10000000029717762,0.03351324258055938,0.06648675771661824
2016-02-23,Consumer Discretionary,0.150000019645951,0.0785936825623061,0.0714063370836449
2016-02-23,Consumer Staples,0.05000002101885197,0.09839580619393992,-0.048395785175087955
2016-02-23,Energy,0.10000002965268438,0.06066708132510353,0.03933294832758085
2016-02-23,Financials,0.100000064296477,0.1406792915291767,-0.04067922723269969
2016-02-23,Health Care,0.10000003002606134,0.1594042224491766,-0.05940419242311526
2016-02-23,Industrials,0.19999924391718585,0.21899324287412156,-0.01899399895693571
2016-02-23,Information Technology,0.10000001335311302,0.13599470681293666,-0.03599469345982363
2016-02-23,Materials,0.10000001161579547,0.019138350304889543,0.08086166131090593
2016-02-23,Real Estate,1.0023323357222494e-08,0.023134285038582555,-0.023134275015259196
2016-02-23,Utilities,2.0055901389444662e-08,0.03148608832920747,-0.03148606827330608
2016-03-24,Communication Services,0.09925881393595906,0.03347642279104291,0.06578239114491616
2016-03-24,Consumer Discretionary,0.1468404302183844,0.07925073019967653,0.06758970001870786
2016-03-24,Consumer Staples,0.046246804447153685,0.09703556045647954,-0.05078875600932586
2016-03-24,Energy,0.10000002223332996,0.06038837465739332,0.03961164757593664
2016-03-24,Financials,0.11421722492146871,0.1428341490438702,-0.028616924122401494
2016-03-24,Health Care,0.09684799732908116,0.15561098361453793,-0.05876298628545677
2016-03-24,Industrials,0.19658801130188955,0.21408795482166385,-0.017499943519774297
2016-03-24,Information Technology,0.10000003294209164,0.14025233338866758,-0.040252300446575934
2016-03-24,Materials,0.10000001305005352,0.020001711934168432,0.07999830111588509
2016-03-24,Real Estate,1.0806189819159566e-08,0.02511924405918,-0.025119233252990182
2016-03-24,Utilities,1.004462153743296e-08,0.0319425350333196,-0.03194252498869806
2016-04-25,Communication Services,0.09433130820505249,0.0323630208586441,0.06196828734640839
2016-04-25,Consumer Discretionary,0.1485343340876944,0.07747424309397935,0.07106009099371505
2016-04-25,Consumer Staples,0.055592318029017214,0.093659338586605,-0.03806702055758778
2016-04-25,Energy,0.09378730245308345,0.06370671258001635,0.030080589873067096
2016-04-25,Financials,0.11313926400738838,0.14738799002081782,-0.03424872601342943
2016-04-25,Health Care,0.09857290493833895,0.16299345776493757,-0.06442055282659861
2016-04-25,Industrials,0.19667258204876248,0.20914778321976973,-0.012475201171007255
2016-04-25,Information Technology,0.09936928508659867,0.13606981529500306,-0.036700530208404386
2016-04-25,Materials,0.10000001307284942,0.020809878090796145,0.07919013498205327
2016-04-25,Real Estate,1.1313896781760955e-08,0.025373861103557882,-0.0253738497896611
2016-04-25,Utilities,0.0,0.031013899385872977,-0.031013899385872977
2016-05-24,Communication Services,0.09485163644536944,0.02073577075768819,0.07411586568768125
2016-05-24,Consumer Discretionary,0.14662860416128687,0.418158688692867,-0.2715300845315801
2016-05-24,Consumer Staples,0.05958447354292622,0.0602417841858016,-0.0006573106428753861
2016-05-24,Energy,0.08668242880458166,0.0407917808500782,0.045890647954503455
2016-05-24,Financials,0.11633026379686989,0.09389447090647833,0.022435792890391562
2016-05-24,Health Care,0.09086377240197711,0.10193975743670315,-0.011075985034726038
2016-05-24,Industrials,0.19756179573769536,0.1295045107552951,0.06805728498240027
2016-05-24,Information Technology,0.11073522836663063,0.08604422630247484,0.024691002064155795
2016-05-24,Materials,0.09676103688991458,0.013226996527889428,0.08353404036202515
2016-05-24,Real Estate,1.1782851237820604e-08,0.015132998790424537,-0.015132987007573298
2016-05-24,Utilities,0.0,0.02032901479429954,-0.02032901479429954
2016-06-24,Communication Services,0.09011961510714875,0.020910979217285918,0.06920863588986283
2016-06-24,Consumer Discretionary,0.14909179271869066,0.4255678090428323,-0.27647601632414165
2016-06-24,Consumer Staples,0.06030828327469219,0.06007237382114021,0.00023590945355198012
2016-06-24,Energy,0.08390969439022412,0.040508711361154685,0.04340098302906944
2016-06-24,Financials,0.11289473539490133,0.0893311738936632,0.02356356150123813
2016-06-24,Health Care,0.09154180928895145,0.09923109191627813,-0.007689282627326682
2016-06-24,Industrials,0.1982877216925878,0.1297782366942126,0.0685094849983752
2016-06-24,Information Technology,0.11908459593645926,0.08559724891726923,0.033487347019190025
2016-06-24,Materials,0.0947610054078305,0.012894385868949336,0.08186661953888116
2016-06-24,Real Estate,1.2191579496096428e-08,0.015624777750438648,-0.015624765558859152
2016-06-24,Utilities,0.0,0.020483211516775745,-0.020483211516775745
2016-07-25,Communication Services,0.09357207294122136,0.020745462442020524,0.07282661049920083
2016-07-25,Consumer Discretionary,0.15000002233980858,0.4297334121319676,-0.279733389792159
2016-07-25,Consumer Staples,0.05714079919492844,0.06223993982902451,-0.005099140634096069
2016-07-25,Energy,0.0753045123242225,0.03852760429072728,0.03677690803349522
2016-07-25,Financials,0.11058095924936369,0.08795632471425065,0.022624634535113042
2016-07-25,Health Care,0.09446514987892704,0.10026373073013524,-0.005798580851208199
2016-07-25,Industrials,0.19936434632089195,0.1271391225422038,0.07222522377868815
2016-07-25,Information Technology,0.12769341437392656,0.08476902747601206,0.0429243868979145
2016-07-25,Materials,0.09187796237462031,0.012518336294916941,0.07935962607970337
2016-07-25,Real Estate,1.2410280379909588e-08,0.015670639442809286,-0.015670627032528906
2016-07-25,Utilities,0.0,0.020436400105932125,-0.020436400105932125
2016-08-25,Communication Services,0.0950262743651335,0.01951900795084889,0.07550726641428461
2016-08-25,Consumer Discretionary,0.15187565555777957,0.4511760397092671,-0.2993003841514875
2016-08-25,Consumer Staples,0.05402373797948821,0.0591897106595459,-0.0051659726800576886
2016-08-25,Energy,0.07937400205439873,0.03759993812930438,0.041774063925094355
2016-08-25,Financials,0.11071124998146602,0.08672965016434037,0.02398159981712565
2016-08-25,Health Care,0.09351607544715002,0.0943815513295145,-0.0008654758823644776
2016-08-25,Industrials,0.1984876142912919,0.12004502429470974,0.07844258999658214
2016-08-25,Information Technology,0.12348125668149967,0.08368613875642643,0.039795117925073245
2016-08-25,Materials,0.09350339730752083,0.012352191738287754,0.08115120556923308
2016-08-25,Real Estate,1.1041600418468585e-08,0.016114863555951917,-0.016114852514351498
2016-08-25,Utilities,0.0,0.01920588371180294,-0.01920588371180294
2016-09-26,Communication Services,0.09999999954538855,0.020092286080623495,0.07990771346476505
2016-09-26,Consumer Discretionary,0.1502017387903362,0.4454559246873676,-0.29525418589703145
2016-09-26,Consumer Staples,0.05204107390635202,0.058685051464243174,-0.006643977557891152
2016-09-26,Energy,0.0794060817932987,0.0367185440536099,0.042687537739688794
2016-09-26,Financials,0.11330698457372358,0.08904501866832781,0.02426196590539577
2016-09-26,Health Care,0.09324733388166473,0.09608059312020928,-0.00283325923854455
2016-09-26,Industrials,0.19397760820778123,0.11945974230669179,0.07451786590108944
2016-09-26,Information Technology,0.1261795752788037,0.0856587311193271,0.040520844159476585
2016-09-26,Materials,0.09163892556851452,0.012271279655236323,0.0793676459132782
2016-09-26,Real Estate,1.0763118554245456e-08,0.016530280533431155,-0.016530269770312602
2016-09-26,Utilities,0.0,0.020002548310932507,-0.020002548310932507
2016-10-25,Communication Services,0.10000000013503174,2.2936837762227556e-05,0.09997706329726952
2016-10-25,Consumer Discretionary,0.1508494637824095,0.9994409488470194,-0.8485914850646099
2016-10-25,Consumer Staples,0.04874924394112115,5.806259725669659e-05,0.04869118134386445
2016-10-25,Energy,0.08590133406534606,3.8545811686153895e-05,0.08586278825365991
2016-10-25,Financials,0.11264018979593965,9.205885116683109e-05,0.11254813094477281
2016-10-25,Health Care,0.09181596819243804,9.354973913167578e-05,0.09172241845330636
2016-10-25,Industrials,0.18964514021998316,0.00011836966072890843,0.18952677055925427
2016-10-25,Information Technology,0.12556346609823116,8.831897770919976e-05,0.12547514712052196
2016-10-25,Materials,0.0948345250888223,1.2099994794739786e-05,0.09482242509402757
2016-10-25,Real Estate,0.0,1.60499044463118e-05,-1.60499044463118e-05
2016-10-25,Utilities,0.0,1.9058778298178465e-05,-1.9058778298178465e-05
2016-11-23,Communication Services,0.09199208726767516,2.346219650703908e-05,0.09196862507116813
2016-11-23,Consumer Discretionary,0.14510641153849552,0.999416188581897,-0.8543097770434014
2016-11-23,Consumer Staples,0.04627559330634731,5.8291671633879515e-05,0.04621730163471343
2016-11-23,Energy,0.09040569783247462,4.047923417984445e-05,0.09036521859829479
2016-11-23,Financials,0.11498821795088854,0.00010212607864630348,0.11488609187224223
2016-11-23,Health Care,0.08535601683378075,9.283069060370196e-05,0.08526318614317704
2016-11-23,Industrials,0.20054518091252987,0.00012796556788247448,0.2004172153446474
2016-11-23,Information Technology,0.13213296589137835,9.055119973123555e-05,0.13204241469164713
2016-11-23,Materials,0.09319715013936503,1.3795214964167898e-05,0.09318335492440086
2016-11-23,Real Estate,0.0,1.5458315705506076e-05,-1.5458315705506076e-05
2016-11-23,Utilities,0.0,1.8851248248784596e-05,-1.8851248248784596e-05
2016-12-23,Communication Services,0.09403385481587842,2.4426901744618174e-05,0.0940094279141338
2016-12-23,Consumer Discretionary,0.1422755297053575,0.999409493009315,-0.8571339633039575
2016-12-23,Consumer Staples,0.0471734145439684,5.823234050550727e-05,0.0471151822034629
2016-12-23,Energy,0.09287575634102753,4.199383916499777e-05,0.09283376250186254
2016-12-23,Financials,0.11358192215322142,0.00010571343990804171,0.11347620871331338
2016-12-23,Health Care,0.08295136485919713,9.160181387194056e-05,0.08285976304532519
2016-12-23,Industrials,0.20043302106535432,0.0001297865162841043,0.20030323454907023
2016-12-23,Information Technology,0.13474164966873728,9.023949626572528e-05,0.13465141017247156
2016-12-23,Materials,0.09193279002021401,1.360205880033776e-05,0.09191918796141367
2016-12-23,Real Estate,0.0,1.5602407309267986e-05,-1.5602407309267986e-05
2016-12-23,Utilities,0.0,1.930817683052579e-05,-1.930817683052579e-05
2017-01-25,Communication Services,0.096093348901366,2.394267059989995e-05,0.09606940623076611
2017-01-25,Consumer Discretionary,0.14586186938886742,0.9994242855615596,-0.8535624161726922
2017-01-25,Consumer Staples,0.04707892577725027,5.712051412059262e-05,0.04702180526312968
2017-01-25,Energy,0.08803837276850023,3.980865784488588e-05,0.08799856411065533
2017-01-25,Financials,0.11322840695619273,0.0001029660224838123,0.11312544093370891
2017-01-25,Health Care,0.08545179418839889,8.945432659014633e-05,0.08536233986180874
2017-01-25,Industrials,0.19310785773547143,0.00012422911610182033,0.1929836286193696
2017-01-25,Information Technology,0.13742652362792926,8.964078668026686e-05,0.13733688284124898
2017-01-25,Materials,0.0937122059515838,1.395649924037416e-05,0.09369824945234342
2017-01-25,Real Estate,0.0,1.5825754677707203e-05,-1.5825754677707203e-05
2017-01-25,Utilities,0.0,1.877009010100007e-05,-1.877009010100007e-05
2017-02-22,Communication Services,0.09424329624521462,2.3557632835005907e-05,0.09421973861237962
2017-02-22,Consumer Discretionary,0.1485689940047552,0.999422261035946,-0.8508532670311908
2017-02-22,Consumer Staples,0.05176832395818956,5.742645287599126e-05,0.05171089750531357
2017-02-22,Energy,0.08337331191318567,3.717170188211224e-05,0.08333614021130356
2017-02-22,Financials,0.11254503888262729,0.00010612155421360075,0.11243891732841368
2017-02-22,Health Care,0.0890891951670919,9.25505194899574e-05,0.08899664464760194
2017-02-22,Industrials,0.18816483698148212,0.00012296470470855324,0.18804187227677358
2017-02-22,Information Technology,0.14160736552199452,9.025498875344645e-05,0.14151711053324106
2017-02-22,Materials,0.09063889221968603,1.3232062171196491e-05,0.09062566015751483
2017-02-22,Real Estate,0.0,1.5678825533652175e-05,-1.5678825533652175e-05
2017-02-22,Utilities,0.0,1.878052159027689e-05,-1.878052159027689e-05
2017-03-27,Communication Services,0.0918585329699935,0.038046611595269966,0.05381192137472353
2017-03-27,Consumer Discretionary,0.1455904304428896,0.07235501816464246,0.07323541227824715
2017-03-27,Consumer Staples,0.05866528897868803,0.09285572589636802,-0.03419043691767999
2017-03-27,Energy,0.08213666924595428,0.05823801859282978,0.0238986506531245
2017-03-27,Financials,0.11213482672201032,0.1643256610486717,-0.05219083432666137
2017-03-27,Health Care,0.09011090192436864,0.153090701119287,-0.06297979919491835
2017-03-27,Industrials,0.18919500513122445,0.1943741014016921,-0.005179096270467642
2017-03-27,Information Technology,0.14289144701619763,0.14799079750298946,-0.0050993504867918316
2017-03-27,Materials,0.08741617009498832,0.020763250892606985,0.06665291920238134
2017-03-27,Real Estate,0.0,0.02606050006492784,-0.02606050006492784
2017-03-27,Utilities,0.0,0.031899613720714745,-0.031899613720714745
2017-04-24,Communication Services,0.09363391460891045,0.0380394110399167,0.05559450356899375
2017-04-24,Consumer Discretionary,0.14461088359796778,0.07253060258612977,0.07208028101183801
2017-04-24,Consumer Staples,0.057346765019581795,0.09290361286557215,-0.03555684784599036
2017-04-24,Energy,0.08046020127145573,0.05748305516438263,0.022977146107073097
2017-04-24,Financials,0.11233318960958763,0.16267051983151343,-0.0503373302219258
2017-04-24,Health Care,0.08699362318509088,0.15145549807303987,-0.064461874887949
2017-04-24,Industrials,0.1864057670065179,0.19469258841897277,-0.008286821412454876
2017-04-24,Information Technology,0.15308194074699571,0.14969507445417451,0.0033868662928212
2017-04-24,Materials,0.08513296813569368,0.02098340973509881,0.06414955840059487
2017-04-24,Real Estate,0.0,0.027829773567195414,-0.027829773567195414
2017-04-24,Utilities,0.0,0.031716454264003914,-0.031716454264003914
2017-05-24,Communication Services,0.10000000015884611,0.03758314786141633,0.06241685229742978
2017-05-24,Consumer Discretionary,0.14338047011037397,0.07296989060889295,0.07041057950148102
2017-05-24,Consumer Staples,0.05519359396202084,0.09271383620490364,-0.037520242242882806
2017-05-24,Energy,0.07870426282630116,0.05735029059134698,0.021353972234954187
2017-05-24,Financials,0.11075640340926872,0.16291892248516462,-0.052162519075895905
2017-05-24,Health Care,0.09031382158343348,0.15315933613071547,-0.06284551454728199
2017-05-24,Industrials,0.17569913442298227,0.19030249129596782,-0.014603356872985557
2017-05-24,Information Technology,0.1618378479662514,0.1525754189354508,0.0092624290308006
2017-05-24,Materials,0.08411374220240106,0.020809339033753066,0.063304403168648
2017-05-24,Real Estate,0.0,0.027899017045793888,-0.027899017045793888
2017-05-24,Utilities,0.0,0.03171830980659444,-0.03171830980659444
2017-06-26,Communication Services,0.09916931643430377,0.0371801437988589,0.061989172635444866
2017-06-26,Consumer Discretionary,0.14433049938640202,0.07200461120269162,0.0723258881837104
2017-06-26,Consumer Staples,0.05672659871929023,0.09132467315610832,-0.03459807443681809
