sector,portfolio_linked_contribution,benchmark_linked_contribution,active_linked_contribution
Information Technology,3.2778137369702796,1.054416600657475,2.223397136312805
Health Care,0.7103561621423271,0.18885665762348328,0.5214995045188439
Communication Services,0.8806057263720953,0.40214849494309163,0.47845723142900365
Industrials,0.49189304114074034,0.1224810891234795,0.3694119520172608
Energy,0.2622327785447887,0.09088956201871003,0.1713432165260787
Consumer Discretionary,0.5582268048227239,0.555993615553484,0.0022331892692397364
Transaction Costs,-0.013617206244889471,0.0,-0.013617206244889471
Real Estate,3.39561801505742e-08,0.021025062314944793,-0.02102502835876464
Consumer Staples,0.016464131104028244,0.11483491493848506,-0.09837078383445683
Financials,0.5124264718993982,0.6467310492101822,-0.13430457731078405
Materials,0.1048561620028326,0.2527584152502516,-0.147902253247419
Utilities,7.660344862483648e-08,0.21514389236382137,-0.21514381576037275
