category,metric,value
performance,total_return,0.006698819057844307
performance,gross_total_return,0.008109138933394267
performance,net_total_return,0.006698819057844307
performance,benchmark_total_return,0.16387806380067538
performance,cagr,0.006752590143539905
performance,annualized_volatility,0.15232001740561366
performance,downside_volatility,0.10509528310193408
performance,sharpe_ratio,0.11999142529873064
performance,sortino_ratio,0.1739097650300795
performance,calmar_ratio,0.0456294259887536
performance,omega_ratio,1.0235956168558873
performance,max_drawdown,-0.14798761976984398
performance,var_95_daily,-0.01440197652124055
performance,cvar_95_daily,-0.02124415413215158
benchmark,alpha_annualized,-0.09792162542600574
benchmark,beta,0.6819263131028008
benchmark,correlation,0.83786377472914
benchmark,r_squared,0.702015705003363
benchmark,tracking_error,0.1022605598869776
benchmark,information_ratio,-1.4875790996223297
benchmark,up_capture,0.6016528810005678
benchmark,down_capture,0.701905754062886
portfolio,average_turnover,0.14257311884038068
portfolio,average_number_of_holdings,33.63636363636363
portfolio,cost_drag,0.001410319875549959
portfolio,max_adv_participation,0.0005605022540942622
