date,portfolio_return,gross_return,benchmark_return,active_return,portfolio_value,turnover,transaction_cost,cash,delisting_liquidations,missing_return_fills,drawdown,benchmark_value
2025-01-02,0.0,0.0,-0.0022238866412221947,0.0022238866412221947,1000000.0,0.0,0.0,1000000.0,0,0,0.0,997776.1133587778
2025-01-03,0.0,0.0,0.01259602672149196,-0.01259602672149196,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1010344.1279447114
2025-01-06,0.0,0.0,0.005538045085450305,-0.005538045085450305,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1015939.4592770892
2025-01-07,0.0,0.0,-0.01110391288210788,0.01110391288210788,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1004658.5560277805
2025-01-08,0.0,0.0,0.001560360190925314,-0.001560360190925314,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1006226.1852440789
2025-01-10,0.0,0.0,-0.01541164380306681,0.01541164380306681,1000000.0,0.0,0.0,1000000.0,0,0,0.0,990718.5856917785
2025-01-13,0.0,0.0,0.0015754440882007614,-0.0015754440882007614,1000000.0,0.0,0.0,1000000.0,0,0,0.0,992279.4074306771
2025-01-14,0.0,0.0,0.0011462798112440442,-0.0011462798112440442,1000000.0,0.0,0.0,1000000.0,0,0,0.0,993416.837282528
2025-01-15,0.0,0.0,0.018312792279639112,-0.018312792279639112,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1011609.073470779
2025-01-16,0.0,0.0,-0.0021126894641922966,0.0021126894641922966,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1009471.857639376
2025-01-17,0.0,0.0,0.009991058969353706,-0.009991058969353706,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1019557.5504969541
2025-01-21,0.0,0.0,0.008768227105582893,-0.008768227105582893,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1028497.2626469231
2025-01-22,0.0,0.0,0.006137941522227575,-0.006137941522227575,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1034810.118700821
2025-01-23,0.0,0.0,0.00531348622041139,-0.00531348622041139,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1040308.5680072801
2025-01-24,0.0,0.0,-0.002855132319398823,0.002855132319398823,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1037338.3493926149
2025-01-27,0.0,0.0,-0.014580715690809543,0.014580715690809543,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1022213.2138449475
2025-01-28,0.0,0.0,0.009217869449967608,-0.009217869449967608,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1031635.841800202
2025-01-29,0.0,0.0,-0.004678895760321544,0.004678895760321544,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1026808.9252338073
2025-01-30,0.0,0.0,0.005275414405311762,-0.005275414405311762,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1032225.7678294884
2025-01-31,0.0,0.0,-0.005046825754019935,0.005046825754019935,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1027016.3042404434
2025-02-03,-0.0009489849446825405,0.0,-0.007608597684666707,0.0066596127399841665,999051.0150553174,0.9999994492851461,948.9849446826149,0.5501922336407006,0,0,-0.0009489849446825405,1019202.1503658845
2025-02-04,0.002197278989389373,0.002197278989389373,0.007224881828679752,-0.005027602839290379,1001246.2088600266,0.0,0.0,0.5501922336407006,0,0,0.0,1026565.7654618144
2025-02-05,0.0008002030784706182,0.0008002030784706182,0.003908672930614365,-0.003108469852143747,1002047.4091586635,0.0,0.0,0.5501922336407006,0,0,0.0,1030578.2752807704
2025-02-06,-0.0011826270309560627,-0.0011826270309560627,0.003644298722618622,-0.0048269257535746846,1000862.360806293,0.0,0.0,0.5501922336407006,0,0,-0.0011826270309560627,1034334.0103729346
2025-02-07,0.00026589943269361704,0.00026589943269361704,-0.009464770111542897,0.009730669544236514,1001128.4895402358,0.0,0.0,0.5501922336407006,0,0,-0.0009170420581191552,1024544.2767462045
2025-02-10,-0.002148966118138418,-0.002148966118138418,0.006712541085862833,-0.008861507204001251,998977.0983363108,0.0,0.0,0.5501922336407006,0,0,-0.003064037483945792,1031421.572298149
2025-02-11,-0.0018205311378283184,-0.0018205311378283184,0.00033958278885926063,-0.002160113926687579,997158.4294228122,0.0,0.0,0.5501922336407006,0,0,-0.004878990446127163,1031771.8253121597
2025-02-12,0.0032391464629766276,0.0032391464629766276,-0.0027238667143857365,0.005963013177362364,1000388.3716225043,0.0,0.0,0.5501922336407006,0,0,-0.0016556477477970288,1028961.4163803508
2025-02-13,0.007317893239742634,0.007317893239742634,0.010426292122230674,-0.0031083988824880393,1007709.1069243179,0.0,0.0,0.5501922336407006,0,0,0.0,1039689.6686900365
2025-02-14,-0.011736065796146722,-0.011736065796146722,-7.194380749464546e-05,-0.011664121988652076,995882.5665420778,0.0,0.0,0.5501922336407006,0,0,-0.011736065796146722,1039614.869456658
