sector,portfolio_linked_contribution,benchmark_linked_contribution,active_linked_contribution
Utilities,0.06581815894566335,0.01046148129795548,0.05535667764770787
Information Technology,0.19630704699641152,0.1625627359047834,0.033744311091628114
Consumer Discretionary,0.08464151156872207,0.05095270309695262,0.03368880847176945
Financials,0.06884732002688278,0.048817489854047595,0.02002983017283518
Real Estate,0.017963211025313192,0.002029314887708441,0.01593389613760475
Health Care,0.02693127043707584,0.017230192539398972,0.009701077897676871
Transaction Costs,-0.002018949075515559,0.0,-0.002018949075515559
Energy,1.672865861569228e-09,0.005700216656607105,-0.005700214983741243
Industrials,0.006614232898798049,0.03324700606849849,-0.02663277316970044
Consumer Staples,-0.014818183006297862,0.015158103111186396,-0.02997628611748426
Materials,1.022236321010753e-09,0.04895837580455386,-0.04895837478231754
Communication Services,0.017535098902129887,0.11185916678048835,-0.09432406787835847
