category,metric,value
performance,total_return,0.35207255641582536
performance,gross_total_return,0.36529274951958834
performance,net_total_return,0.35207255641582536
performance,benchmark_total_return,0.4351664289665711
performance,cagr,0.1634854460014592
performance,annualized_volatility,0.13744920962252175
performance,downside_volatility,0.09332372074959899
performance,sharpe_ratio,1.1706610586576773
performance,sortino_ratio,1.7241751181363365
performance,calmar_ratio,1.0076760746292852
performance,omega_ratio,1.240328238688856
performance,max_drawdown,-0.16224007904683457
performance,var_95_daily,-0.012617458857065033
performance,cvar_95_daily,-0.0191695939264721
benchmark,alpha_annualized,0.01237711665499875
benchmark,beta,0.7652577239024131
benchmark,correlation,0.8881294154152634
benchmark,r_squared,0.7887738585258575
benchmark,tracking_error,0.07343518125828274
benchmark,information_ratio,-0.45188353678310933
benchmark,up_capture,0.7838570761516191
benchmark,down_capture,0.7720067338681901
portfolio,average_turnover,0.5507554107926171
portfolio,average_number_of_holdings,100.0
portfolio,cost_drag,0.01322019310376299
portfolio,max_adv_participation,0.00048043809691932247
