category,metric,value
performance,total_return,0.4410327111540089
performance,gross_total_return,0.44346078474928574
performance,net_total_return,0.4410327111540089
performance,benchmark_total_return,0.4351664289665711
performance,cagr,0.20130422088447864
performance,annualized_volatility,0.14478097373858712
performance,downside_volatility,0.09535693037555697
performance,sharpe_ratio,1.339355752426566
performance,sortino_ratio,2.0335515127739723
performance,calmar_ratio,1.0779380851053906
performance,omega_ratio,1.2804672930282048
performance,max_drawdown,-0.18674933529674576
performance,var_95_daily,-0.014228893524961888
performance,cvar_95_daily,-0.020094918413297448
benchmark,alpha_annualized,0.035235511481316456
benchmark,beta,0.8175446385726522
benchmark,correlation,0.9007634614514521
benchmark,r_squared,0.8113748134860017
benchmark,tracking_error,0.0692890528107694
benchmark,information_ratio,-0.0025596635222013297
benchmark,up_capture,0.8538606774201182
benchmark,down_capture,0.8157611525673458
portfolio,average_turnover,0.08840878781267221
portfolio,average_number_of_holdings,36.52173913043478
portfolio,cost_drag,0.0024280735952768584
portfolio,max_adv_participation,0.0008686352019864181
