start_date,trough_date,recovery_date,max_drawdown,duration_days
2023-01-31,2023-02-01,2023-02-02,-0.0009658636898792761,2
2023-02-02,2023-02-09,2023-02-13,-0.012036584679217643,11
2023-02-15,2023-03-17,2023-06-12,-0.08759291409213832,117
2023-06-15,2023-06-23,2023-06-29,-0.021604634831094316,14
2023-07-03,2023-07-06,2023-07-11,-0.01544889108177161,8
2023-07-13,2023-07-14,2023-07-17,-0.006011099050157398,4
2023-07-18,2023-07-20,2023-07-24,-0.006819991076270959,6
2023-07-25,2023-07-27,2023-07-28,-0.0039046639238373704,3
2023-07-31,2023-08-03,2023-08-07,-0.01556276221688846,7
2023-08-07,2023-08-24,2023-09-01,-0.030662372749247102,25
2023-09-01,2023-10-27,2023-11-15,-0.08421819780688367,75
2023-11-15,2023-11-16,2023-11-17,-0.0036890793092204666,2
2023-11-20,2023-11-21,2023-11-22,-0.0028327024764716047,2
2023-11-24,2023-11-28,2023-11-29,-0.005241081885887233,5
2023-12-01,2023-12-06,2023-12-11,-0.01796276133524688,10
2023-12-14,2023-12-15,2023-12-18,-0.0012936360977731098,4
2023-12-19,2023-12-20,2023-12-26,-0.014676454040074005,7
2023-12-26,2024-01-04,2024-01-08,-0.013476093215312734,13
2024-01-08,2024-01-09,2024-01-11,-0.007863346231532065,3
2024-01-11,2024-01-17,2024-01-18,-0.009863246526106262,7
2024-01-22,2024-01-23,2024-01-24,-0.00027966222569997257,2
2024-01-25,2024-01-26,2024-01-29,-0.0029249926986065766,4
2024-01-30,2024-01-31,2024-02-01,-0.00671835707722046,2
2024-02-01,2024-02-06,2024-02-07,-0.0015401334865229321,6
2024-02-07,2024-02-08,2024-02-09,-0.0031689327979187443,2
2024-02-12,2024-02-13,2024-02-15,-0.013283340506161978,3
2024-02-15,2024-02-20,2024-02-22,-0.0116396466921741,7
2024-02-22,2024-02-28,2024-02-29,-0.00435501255037396,7
2024-03-04,2024-03-05,2024-03-07,-0.009448759880388513,3
2024-03-07,2024-03-15,2024-03-19,-0.009142579659827677,12
2024-03-21,2024-03-26,2024-03-27,-0.006676720501795574,6
2024-03-28,2024-04-02,2024-04-03,-0.006025215558169039,6
2024-04-03,2024-05-01,2024-06-05,-0.06226858919760048,63
2024-06-05,2024-06-07,2024-06-10,-0.0031642422941700055,5
2024-06-13,2024-06-14,2024-06-17,-0.0018017898675665167,4
2024-06-18,2024-07-01,2024-07-15,-0.02608464692185919,27
2024-07-16,2024-08-07,2024-09-23,-0.0859333715706736,69
2024-09-24,2024-09-25,2024-09-26,-0.0028333302007894634,2
2024-09-26,2024-09-27,2024-09-30,-0.00025163455609800156,4
2024-09-30,2024-10-01,2024-10-04,-0.00596646975526427,4
2024-10-04,2024-10-07,2024-10-09,-0.009734254571626577,5
2024-10-09,2024-10-10,2024-10-14,-0.0049531201398900215,5
2024-10-14,2024-10-15,2024-10-18,-0.008641630206594253,4
2024-10-18,2024-11-04,2024-11-06,-0.029547249670498044,19
2024-11-11,2024-11-15,2024-11-22,-0.027742628181294693,11
2024-11-25,2024-11-27,2024-12-02,-0.008716904747419707,7
2024-12-02,2024-12-19,2025-01-22,-0.04910708157700028,51
2025-01-23,2025-04-08,2025-07-01,-0.188260440231527,159
2025-07-03,2025-07-08,2025-07-09,-0.0029281217765476653,6
2025-07-10,2025-07-15,2025-07-23,-0.014426034464718906,13
2025-07-23,2025-07-24,2025-07-25,-0.0036428919383700853,2
2025-07-25,2025-08-01,2025-08-12,-0.025981591183761088,18
2025-08-14,2025-08-18,2025-08-22,-0.007279866143236502,8
2025-08-22,2025-08-25,2025-08-26,-0.002113220220737788,4
2025-08-28,2025-09-02,2025-09-05,-0.008759763287474853,8
2025-09-08,2025-09-09,2025-09-11,-0.0025991980641892898,3
2025-09-11,2025-09-18,2025-09-23,-0.009464252832250719,12
2025-09-23,2025-09-25,2025-09-30,-0.0069514476960156335,7
2025-10-02,2025-10-10,2025-10-21,-0.033164066854086016,19
2025-10-21,2025-10-23,2025-10-27,-0.009485760317805125,6
2025-10-27,2025-11-20,2025-12-11,-0.052422083674489306,45
2025-12-11,2025-12-17,2026-01-05,-0.024270248610908207,25
2026-01-06,2026-01-07,2026-01-09,-0.00832666258090875,3
2026-01-13,2026-01-14,2026-01-15,-0.0015341520571964251,2
2026-01-16,2026-01-20,2026-01-21,-0.016439769877627075,5
2026-01-21,2026-01-23,2026-01-27,-0.005409354944567291,6
2026-01-27,2026-01-30,2026-02-04,-0.009993080443347013,8
2026-02-04,2026-02-05,2026-02-06,-0.006641551821343961,2
2026-02-09,2026-02-10,2026-02-11,-0.0014843701074097604,2
2026-02-11,2026-02-12,2026-02-24,-0.011527472774319314,13
2026-02-24,2026-03-30,2026-04-09,-0.0627125848008494,44
2026-04-09,2026-04-10,2026-04-13,-0.002379152501243431,4
2026-04-17,2026-04-21,2026-04-23,-0.007358888743075442,6
2026-04-24,2026-04-28,2026-04-29,-0.007920442338723577,5
