factor,accruals,beta_to_spy,book_to_market,earnings_yield,free_cash_flow_yield,max_drawdown_252d,momentum_12_1,momentum_3m,momentum_6m,realized_vol_252d,realized_vol_60d,roe,sales_yield
accruals,1.0,0.017899667656306285,-0.17830503296408576,-0.1458797561333576,0.4730702208775905,0.0033147827388942835,0.02169066649156193,0.020012751047747676,0.02665776237218757,-0.0248232249775739,-0.018844469164351712,-0.016910616739747954,-0.009838241083656055
beta_to_spy,0.017899667656306285,1.0,-0.07072393887563076,0.08357037729024631,0.08498938153330692,-0.46504443987888583,-0.02352083769676202,-0.06276707502310508,-0.06369531997008555,0.7164497076970502,0.5849731754589781,0.007510408846539751,0.036859627973291384
book_to_market,-0.17830503296408576,-0.07072393887563076,1.0,0.2205307318508745,0.14826009642208518,0.15540954921065117,-0.15604804758174362,-0.05005472105123476,-0.08610959990792419,-0.10762877809217075,-0.10240904085051461,-0.17190608448789424,0.26606292763494505
earnings_yield,-0.1458797561333576,0.08357037729024631,0.2205307318508745,1.0,0.3642637843089663,-0.03649609536005192,-0.003234302458044681,-0.03535557010743349,-0.02614982645284737,0.062157014420270704,0.05384692836662936,0.37717367995372875,0.29647762611307077
free_cash_flow_yield,0.4730702208775905,0.08498938153330692,0.14826009642208518,0.3642637843089663,1.0,-0.012268228297229795,-0.009500693417543676,-0.005269857977259183,0.0021039546928520664,0.0366721608001897,0.028152532797394776,0.120899023002576,0.3101200080708624
max_drawdown_252d,0.0033147827388942835,-0.46504443987888583,0.15540954921065117,-0.03649609536005192,-0.012268228297229795,1.0,-0.5149143693105975,-0.14727033006338244,-0.3161376683985551,-0.6925203564199449,-0.6307096412061507,-0.027099451274972874,0.08128412033984879
momentum_12_1,0.02169066649156193,-0.02352083769676202,-0.15604804758174362,-0.003234302458044681,-0.009500693417543676,-0.5149143693105975,1.0,0.31934014358418045,0.5794986181575432,0.08905051287068609,0.1205495095740401,0.06459485561713592,-0.033547130428543626
momentum_3m,0.020012751047747676,-0.06276707502310508,-0.05005472105123476,-0.03535557010743349,-0.005269857977259183,-0.14727033006338244,0.31934014358418045,1.0,0.6638386209949045,-0.035824790658710595,0.043732315168898264,-0.002048944850949909,-0.0124081518788847
momentum_6m,0.02665776237218757,-0.06369531997008555,-0.08610959990792419,-0.02614982645284737,0.0021039546928520664,-0.3161376683985551,0.5794986181575432,0.6638386209949045,1.0,-0.009095747068600597,0.08743390980896412,0.0227344068232594,-0.01712033372027548
realized_vol_252d,-0.0248232249775739,0.7164497076970502,-0.10762877809217075,0.062157014420270704,0.0366721608001897,-0.6925203564199449,0.08905051287068609,-0.035824790658710595,-0.009095747068600597,1.0,0.8270186600135995,-0.0015527062914144313,-0.0800503401922729
realized_vol_60d,-0.018844469164351712,0.5849731754589781,-0.10240904085051461,0.05384692836662936,0.028152532797394776,-0.6307096412061507,0.1205495095740401,0.043732315168898264,0.08743390980896412,0.8270186600135995,1.0,-5.594763301653764e-05,-0.0880469205513148
roe,-0.016910616739747954,0.007510408846539751,-0.17190608448789424,0.37717367995372875,0.120899023002576,-0.027099451274972874,0.06459485561713592,-0.002048944850949909,0.0227344068232594,-0.0015527062914144313,-5.594763301653764e-05,1.0,-0.03466658782749287
sales_yield,-0.009838241083656055,0.036859627973291384,0.26606292763494505,0.29647762611307077,0.3101200080708624,0.08128412033984879,-0.033547130428543626,-0.0124081518788847,-0.01712033372027548,-0.0800503401922729,-0.0880469205513148,-0.03466658782749287,1.0
