factor_name,ic,rank_ic,ic_ir,t_stat,p_value,coverage,missing_rate,fdr_q_value,fdr_significant,quantile_monotonicity,top_quantile_turnover
accruals,0.010089421752258704,0.002045630084476918,0.03664264519738757,0.25314490277677615,0.8001562411987337,0.985204523176327,0.014736394105442358,0.8668359279652949,False,0.3,0.24960985776482694
beta_to_spy,-0.03693337846885718,-0.02398050508663772,-0.10036689156480597,-0.6196317143074337,0.5355002821027043,1.0,0.0,0.7735004074816839,False,-0.8999999999999998,0.06925739662188928
book_to_market,0.021251714358076268,0.016579300188911152,0.1545634778433216,0.8029208368682146,0.42202049164794253,0.9974907390206497,0.0025003989998404,0.7456658161172499,False,0.9999999999999999,0.0588074421296702
earnings_yield,0.02131215661993337,0.027485854353842952,0.4534865464975563,2.831948387842084,0.004626531580882584,0.9910281912776352,0.00893759642496143,0.030072455275736796,True,0.8999999999999998,0.26504732751828164
free_cash_flow_yield,0.01836472383933892,0.019218034770926144,0.2887659203311004,1.9709025521758652,0.04873502316023527,0.9941763318986918,0.005798797680480928,0.21118510036101953,False,0.8999999999999998,0.19710789383946592
max_drawdown_252d,0.012351058145861465,0.0018022026620657828,0.010110653512607261,0.05863428553894775,0.9532434017391105,1.0,0.0,0.9532434017391105,False,0.7,0.1286489868817019
momentum_12_1,0.03273341562505275,0.021275679099363027,0.145740745007562,1.1612461142953314,0.2455418263058451,0.999627514375528,0.0003723998510400596,0.532007290329331,False,0.3,0.22240644116185967
momentum_3m,0.01959593525243141,0.013113308165772414,0.10333602383113454,0.7407067405635287,0.4588712714567692,1.0,0.0,0.7456658161172499,False,0.9999999999999999,0.43310336985178044
momentum_6m,0.03754149079695393,0.023576445501539183,0.16748958158331306,1.302998677048689,0.1925752132233467,1.0,0.0,0.5006955543807015,False,0.49999999999999994,0.3018112839469809
realized_vol_252d,-0.031035402901578735,-0.01487294227294228,-0.07320806133605967,-0.4369765351309475,0.6621283653924885,1.0,0.0,0.8329467980368964,False,-0.8999999999999998,0.07774862060118354
realized_vol_60d,-0.032376267831482154,-0.01162579044414171,-0.06316153558240671,-0.3788474666272069,0.7048011368004508,1.0,0.0,0.8329467980368964,False,-0.39999999999999997,0.2539818340948547
roe,-0.007059843994938175,-0.01736443450607058,-0.32876484149748575,-1.7550508251634198,0.07925061454063675,0.9904899735335642,0.009469596212161514,0.2575644972570694,False,-0.6,0.22154127374885077
sales_yield,0.02624314724850116,0.04650782900076292,0.509924778885015,2.8779675939264235,0.004002462523703579,0.9687614769556305,0.031228387508644997,0.030072455275736796,True,0.8999999999999998,0.15521491391056608
