category,metric,value
performance,total_return,0.9250231089381005
performance,gross_total_return,0.929306511198992
performance,net_total_return,0.9250231089381005
performance,benchmark_total_return,0.8775907710964976
performance,cagr,0.21883432037487305
performance,annualized_volatility,0.14843148718746624
performance,downside_volatility,0.09810060962634096
performance,sharpe_ratio,1.4077773852956987
performance,sortino_ratio,2.1300427359649747
performance,calmar_ratio,1.1624020431788304
performance,omega_ratio,1.2762450166461587
performance,max_drawdown,-0.188260440231527
performance,var_95_daily,-0.014043571581191612
performance,cvar_95_daily,-0.01992884776246922
benchmark,alpha_annualized,0.03166992740998956
benchmark,beta,0.8794371380314623
benchmark,correlation,0.8868771317557036
benchmark,r_squared,0.7865510468312237
benchmark,tracking_error,0.07091101044003453
benchmark,information_ratio,0.10386640853716016
benchmark,up_capture,0.9181014664011234
benchmark,down_capture,0.8854617091322577
portfolio,average_turnover,0.06771481850849982
portfolio,average_number_of_holdings,39.82051282051282
portfolio,cost_drag,0.004283402260891522
portfolio,max_adv_participation,0.0005988825080154818
portfolio,average_holding_period_days,488.96153846153845
portfolio,estimated_capacity,166977660.3283509
portfolio,average_hhi,0.04093666063445042
portfolio,average_effective_holdings,24.630005009152264
