sector,portfolio_linked_contribution,benchmark_linked_contribution,active_linked_contribution
Information Technology,0.4517650051825779,0.30461804128095044,0.14714696390162746
Health Care,0.08211465672177323,0.02729384213282557,0.05482081458894768
Utilities,0.06509920176483094,0.015176049753123349,0.049923152011707606
Consumer Discretionary,0.12900656175062275,0.08141362770454183,0.04759293404608091
Energy,0.043995755776767335,0.018563746448697214,0.02543200932807012
Transaction Costs,-0.0027467552170580183,0.0,-0.0027467552170580183
Industrials,0.06423582972427257,0.06835921754937443,-0.0041233878251018645
Real Estate,0.0006253298075617145,0.0051121521691924535,-0.004486822361630739
Consumer Staples,-5.787971770683173e-06,0.034232341505657495,-0.03423812947742818
Financials,0.015200979601736525,0.06076510342796669,-0.045564123826230166
Materials,0.011671695291213039,0.08418565764444613,-0.0725139623532331
Communication Services,0.0640606365055722,0.20492624978354573,-0.1408656132779735
