category,metric,value
performance,total_return,0.28796831834566117
performance,gross_total_return,0.2900782741296508
performance,net_total_return,0.28796831834566117
performance,benchmark_total_return,0.27629238196001027
performance,cagr,0.1656741791863079
performance,annualized_volatility,0.14465141452050154
performance,downside_volatility,0.09536812455462948
performance,sharpe_ratio,1.132184548668787
performance,sortino_ratio,1.7172624210449108
performance,calmar_ratio,1.2303860064188905
performance,omega_ratio,1.2295513079534228
performance,max_drawdown,-0.1346521972145247
performance,var_95_daily,-0.013645472016250965
performance,cvar_95_daily,-0.01890434403177638
benchmark,alpha_annualized,0.050159052322956824
benchmark,beta,0.7017999644833293
benchmark,correlation,0.8158822045212133
benchmark,r_squared,0.6656637716543949
benchmark,tracking_error,0.09752116746097889
benchmark,information_ratio,0.01931911956980466
benchmark,up_capture,0.7356858851755995
benchmark,down_capture,0.6791817837363261
portfolio,average_turnover,0.09838997870113875
portfolio,average_number_of_holdings,35.0
portfolio,cost_drag,0.0021099557839896477
portfolio,max_adv_participation,0.0004447951768811964
