category,metric,value
performance,total_return,0.9428371209340118
performance,gross_total_return,0.947217168430468
performance,net_total_return,0.9428371209340118
performance,benchmark_total_return,0.8775907710964976
performance,cagr,0.22223141562334137
performance,annualized_volatility,0.14831595782007786
performance,downside_volatility,0.09786330813938121
performance,sharpe_ratio,1.4275343912175977
performance,sortino_ratio,2.1634883857900054
performance,calmar_ratio,1.1839400395731206
performance,omega_ratio,1.2807304336975964
performance,max_drawdown,-0.18770495818645405
performance,var_95_daily,-0.014023884831305773
performance,cvar_95_daily,-0.0199177676414839
benchmark,alpha_annualized,0.03479855826274107
benchmark,beta,0.8776464467154623
benchmark,correlation,0.8857607095201628
benchmark,r_squared,0.7845720345296623
benchmark,tracking_error,0.0712343579357028
benchmark,information_ratio,0.14224753194954184
benchmark,up_capture,0.9169463468105276
benchmark,down_capture,0.8802046490979257
portfolio,average_turnover,0.06866559328445697
portfolio,average_number_of_holdings,30.0
portfolio,cost_drag,0.004380047496456152
portfolio,max_adv_participation,0.0005988824965415605
