start_date,trough_date,recovery_date,max_drawdown,duration_days
2024-01-31,2024-02-06,2024-02-07,-0.004896958923508277,7
2024-02-07,2024-02-08,2024-02-09,-0.002093969468185519,2
2024-02-12,2024-02-13,2024-02-14,-0.010681089323492876,2
2024-02-15,2024-02-20,2024-02-22,-0.008452977987508659,7
2024-02-22,2024-02-23,2024-02-27,-0.0013376946271215218,5
2024-02-27,2024-02-28,2024-02-29,-0.0037352795189380394,2
2024-03-01,2024-03-05,2024-03-07,-0.008989204383061944,6
2024-03-07,2024-03-11,2024-03-12,-0.008738156764120153,5
2024-03-12,2024-03-15,2024-03-20,-0.012853617150696883,8
2024-03-21,2024-03-26,2024-03-28,-0.007211463454078304,7
2024-03-28,2024-04-19,2024-05-15,-0.0542082033870942,48
2024-05-15,2024-05-17,2024-05-20,-0.003708215400880066,5
2024-05-21,2024-05-30,2024-06-05,-0.016572169183085905,15
2024-06-05,2024-06-07,2024-06-10,-0.002872481847635888,5
2024-06-10,2024-06-11,2024-06-12,-0.0002060135118808759,2
2024-06-18,2024-06-26,2024-07-12,-0.013163168035139727,24
2024-07-16,2024-08-07,2024-08-15,-0.05134233546302891,30
2024-08-19,2024-08-20,2024-08-21,-0.002848480905817685,2
2024-08-21,2024-08-22,2024-08-23,-0.006775213137797498,2
2024-08-23,2024-08-29,2024-08-30,-0.008577847140721184,7
2024-08-30,2024-09-06,2024-09-13,-0.04006204050353912,14
2024-09-16,2024-09-18,2024-09-19,-0.003796208356073749,3
2024-09-19,2024-09-20,2024-09-23,-0.0001797255301145828,4
2024-09-24,2024-09-25,2024-09-26,-0.004261794878514524,2
2024-09-26,2024-09-27,2024-09-30,-0.0012020109073898055,4
2024-09-30,2024-10-01,2024-10-04,-0.006057724697847711,4
2024-10-04,2024-10-07,2024-10-08,-0.00799499290490513,4
2024-10-09,2024-10-10,2024-10-11,-0.004029475332078869,2
2024-10-14,2024-10-15,2024-10-16,-0.006757216137524336,2
2024-10-18,2024-11-01,2024-11-06,-0.022568017098620552,19
2024-11-11,2024-11-15,2024-11-22,-0.022026119269682343,11
2024-11-26,2024-11-27,2024-11-29,-0.0019408359690598065,3
2024-12-02,2024-12-03,2024-12-04,-0.002358454272766708,2
2024-12-04,2025-01-10,2025-01-23,-0.052282195736661596,50
2025-01-23,2025-04-08,2025-06-27,-0.17728047387482815,155
2025-07-07,2025-07-15,2025-07-17,-0.01158065113002793,10
2025-07-17,2025-07-18,2025-07-23,-0.004040589591688071,6
2025-07-23,2025-07-24,2025-07-25,-0.0005763258244300129,2
2025-07-25,2025-08-01,2025-08-08,-0.019755720093921347,14
2025-08-13,2025-08-18,2025-08-22,-0.005901825999147459,9
2025-08-22,2025-08-25,2025-08-26,-0.0019424589042824625,4
2025-08-28,2025-09-02,2025-09-05,-0.009737018859939162,8
2025-09-08,2025-09-09,2025-09-11,-0.0013004893712712517,3
2025-09-11,2025-10-10,2025-10-21,-0.026701659537995526,40
2025-10-21,2025-10-22,2025-10-27,-0.008861023354267306,6
2025-10-27,2025-11-20,,-0.049234710953370064,65
