category,metric,value
performance,total_return,1.0065713748732734
performance,gross_total_return,1.0169141344983785
performance,net_total_return,1.0065713748732734
performance,benchmark_total_return,0.47637104193784396
performance,cagr,0.1905947919250237
performance,annualized_volatility,0.22935186185668996
performance,downside_volatility,0.16272877618650422
performance,sharpe_ratio,0.8761128226040362
performance,sortino_ratio,1.2348037745362226
performance,calmar_ratio,0.5954999024263324
performance,omega_ratio,1.1757769830469895
performance,max_drawdown,-0.3200584771692748
performance,var_95_daily,-0.021654658355135553
performance,cvar_95_daily,-0.034302420214969216
benchmark,alpha_annualized,0.08310360997581415
benchmark,beta,0.9487810314657591
benchmark,correlation,0.9512105610967763
benchmark,r_squared,0.9048015315420439
benchmark,tracking_error,0.07173813282339402
benchmark,information_ratio,1.069757920605586
benchmark,up_capture,0.9829548343851328
benchmark,down_capture,0.9140172085389068
portfolio,average_turnover,0.10690625029711191
portfolio,average_number_of_holdings,50.0
portfolio,cost_drag,0.010342759625105113
portfolio,max_adv_participation,0.001086966971011667
