category,metric,value
performance,total_return,4.8889643749257425
performance,gross_total_return,4.962946537651513
performance,net_total_return,4.8889643749257425
performance,benchmark_total_return,2.3491688583032495
performance,cagr,0.19450417736009973
performance,annualized_volatility,0.1813300369626979
performance,downside_volatility,0.12704816263704588
performance,sharpe_ratio,1.0714077096328514
performance,sortino_ratio,1.5291712651119829
performance,calmar_ratio,0.6446558177508149
performance,omega_ratio,1.220637399013121
performance,max_drawdown,-0.30171786557161473
performance,var_95_daily,-0.01764871854325784
performance,cvar_95_daily,-0.02729356955194888
benchmark,alpha_annualized,0.06644623018152021
benchmark,beta,0.9284822506996707
benchmark,correlation,0.9282409453273713
benchmark,r_squared,0.8616312525822519
benchmark,tracking_error,0.06868576858726712
benchmark,information_ratio,0.8240391744086426
benchmark,up_capture,0.9744655352074932
benchmark,down_capture,0.9044622161292645
portfolio,average_turnover,0.09586936326349009
portfolio,average_number_of_holdings,33.02521008403362
portfolio,cost_drag,0.07398216272577063
portfolio,max_adv_participation,0.0020612857962143323
