signal_date,execution_date,optimizer_status,warning,turnover,holding_count,commission,slippage,market_impact,total_cost,cost_fraction,max_adv_participation,hhi,effective_holdings
2016-02-22,2016-02-23,optimal_target_cardinality,,1.0,50,100.00000000000003,500.0,475.80885970709505,1075.808859707095,0.0010758088597070952,0.0009143549479007714,0.04970920776446335,20.116997332532236
2016-03-23,2016-03-24,optimal,,0.0493183356661145,50,5.167502951590224,25.83751475795113,11.280541646270656,42.28555935581201,4.0357082127985565e-05,0.00020914141481853847,0.04818786743034494,20.752111544373477
2016-04-22,2016-04-25,optimal_target_cardinality,,0.03135634735571316,50,3.3580691905271687,16.790345952635843,4.32019079467387,24.46860593783688,2.2847834977945523e-05,0.0001014075315364361,0.04703556154567765,21.2605094345237
2016-05-23,2016-05-24,optimal_target_cardinality,,0.09197652442061859,50,9.660335912270048,48.30167956135024,57.97941254512396,115.94142801874425,0.00011038839314047779,0.0006166816513376766,0.04674564558882374,21.39236686976223
2016-06-23,2016-06-24,optimal_target_cardinality,,0.026755409893817646,50,2.7805914067169404,13.902957033584695,2.3299299741010833,19.01347841440272,1.829515142914289e-05,4.412342083348194e-05,0.04619113924829465,21.649173765224237
2016-07-22,2016-07-25,optimal_target_cardinality,,0.023228497856580505,50,2.5565250481015895,12.782625240507944,3.7016581705421086,19.04080845915164,1.730041248019051e-05,6.007031684096905e-05,0.045793342194957856,21.837235547094583
2016-08-24,2016-08-25,optimal_target_cardinality,,0.025404821769460583,50,2.9227605905007485,14.613802952503738,9.044043372986858,26.580606915991346,2.3104033338192725e-05,0.00036729857971605853,0.045118109570021304,22.1640491928866
2016-09-23,2016-09-26,optimal,,0.01513901334653762,50,1.743440817685627,8.717204088428133,0.8205476707714925,11.281192576885253,9.795923283076576e-06,2.8727270563032043e-05,0.045254526884702155,22.0972368697559
2016-10-24,2016-10-25,optimal_target_cardinality,,0.022379347557997604,50,2.5681986291852117,12.840993145926058,1.7507487420511156,17.159940517162386,1.4953215399463835e-05,5.744384284376427e-05,0.04528099054574115,22.084322536845516
2016-11-22,2016-11-23,optimal,,0.014464492328625421,50,1.7022750652512688,8.511375326256347,1.1468880554745549,11.360538446982172,9.653223769166366e-06,3.141663118289333e-05,0.04495055290100138,22.246667403677755
