category,metric,value
performance,total_return,5.375750536827177
performance,gross_total_return,5.40491488923109
performance,net_total_return,5.375750536827177
performance,benchmark_total_return,2.3491688583032495
performance,cagr,0.20405172397554483
performance,annualized_volatility,0.1943746031621454
performance,downside_volatility,0.1359660235608694
performance,sharpe_ratio,1.0531551808540622
performance,sortino_ratio,1.5055718699828162
performance,calmar_ratio,0.5830268801392625
performance,omega_ratio,1.223989079401895
performance,max_drawdown,-0.3499868203791989
performance,var_95_daily,-0.017730569572913083
performance,cvar_95_daily,-0.029255496528990604
benchmark,alpha_annualized,0.06376485291013248
benchmark,beta,1.023701076597238
benchmark,correlation,0.9547518442131242
benchmark,r_squared,0.9115510840283618
benchmark,tracking_error,0.057967165574254846
benchmark,information_ratio,1.1563095095832214
benchmark,up_capture,1.068367761828132
benchmark,down_capture,1.0008052274384305
portfolio,average_turnover,0.041273330207505954
portfolio,average_number_of_holdings,50.0
portfolio,cost_drag,0.029164352403912908
portfolio,max_adv_participation,0.0020426735318072368
