category,metric,value
performance,total_return,4.483057972364969
performance,gross_total_return,4.5470366202018875
performance,net_total_return,4.483057972364969
performance,benchmark_total_return,2.3491688583032495
performance,cagr,0.1859835398406271
performance,annualized_volatility,0.18129837326492657
performance,downside_volatility,0.12729138738146248
performance,sharpe_ratio,1.0321102258770922
performance,sortino_ratio,1.470012298796447
performance,calmar_ratio,0.599401607965187
performance,omega_ratio,1.2131102439149866
performance,max_drawdown,-0.31028201688012313
performance,var_95_daily,-0.017541543379050388
performance,cvar_95_daily,-0.027143935430262264
benchmark,alpha_annualized,0.05912738536281165
benchmark,beta,0.9296469209467049
benchmark,correlation,0.9295676331999168
benchmark,r_squared,0.864095984692895
benchmark,tracking_error,0.06804191637051117
benchmark,information_ratio,0.7266295846639381
benchmark,up_capture,0.9672773846482718
benchmark,down_capture,0.9045653472553565
portfolio,average_turnover,0.0890836233252728
portfolio,average_number_of_holdings,50.0
portfolio,cost_drag,0.06397864783691887
portfolio,max_adv_participation,0.0021620722317779923
