test,setting,run_id,cagr,sharpe_ratio,max_drawdown,status,config_diff,total_return,transaction_cost_paid,error
base,configured,20260615T130520Z-backtest-0c5da3f4,0.212463085935801,1.4280482496035216,-0.17728047387482815,valid,{},,,
cost_sensitivity,5_bps,20260615T130520Z-backtest-0c5da3f4,,,,valid,{},0.4688516087467798,1216.922169807922,
cost_sensitivity,10_bps,20260615T130520Z-backtest-0c5da3f4,,,,valid,{},0.4673021280791876,2432.730406510467,
cost_sensitivity,25_bps,20260615T130520Z-backtest-0c5da3f4,,,,valid,{},0.4626611340391917,6073.47947345484,
cost_sensitivity,50_bps,20260615T130520Z-backtest-0c5da3f4,,,,valid,{},0.4549509195335519,12119.190099765125,
subperiod,first_half,20260615T130622Z-backtest-d964c071,0.32845281173232244,2.390895202677915,-0.0542082033870942,valid,{},,,
subperiod,second_half,20260615T130622Z-backtest-90dfc22c,0.006752590164737837,0.11999142543721372,-0.14798761976984398,valid,{},,,
top_n_sensitivity,30,20260615T130627Z-backtest-4277f7da,0.21219733660332651,1.426517361652347,-0.1772846356584954,valid,"{""optimizer.constraints.target_num_holdings"": {""after"": 30, ""before"": 50}}",,,
top_n_sensitivity,50,20260615T130627Z-backtest-75101e32,0.21269121880840336,1.4285365236905074,-0.17747877371496779,valid,{},,,
top_n_sensitivity,100,,,,,invalid,"{""optimizer.constraints.target_num_holdings"": {""after"": 100, ""before"": 50}}",,,Optimizer fallback is not publishable on 2024-01-31: Optimizer produced 43 holdings; minimum acceptable is 50.
rebalance_day_shift,-5,20260615T130637Z-backtest-cf8c2f26,0.18147685293936178,1.2938592064295205,-0.15661327765848188,valid,{},,,
rebalance_day_shift,5,20260615T130708Z-backtest-c1be39bd,0.20130422088448174,1.3393557524265338,-0.18674933529674576,valid,{},,,
