factor_name,horizon_days,rank_ic
accruals,1,0.033171510331231294
beta_to_spy,1,0.06362551957297587
book_to_market,1,-0.045369598719283206
earnings_yield,1,0.01728160284816442
free_cash_flow_yield,1,0.01669710785067957
max_drawdown_252d,1,-0.010259758375982732
momentum_12_1,1,-0.005901079613617657
momentum_3m,1,0.011855151669702454
momentum_6m,1,0.015974090966689027
realized_vol_252d,1,0.03295105563976067
realized_vol_60d,1,0.024091470272336386
roe,1,0.017234848258211182
sales_yield,1,-0.004009261758750375
accruals,5,0.02159322736345197
beta_to_spy,5,-0.021239429107890784
book_to_market,5,-0.027115739915151284
earnings_yield,5,0.01905268879200972
free_cash_flow_yield,5,0.007594262767952547
max_drawdown_252d,5,0.03477500147247982
momentum_12_1,5,-0.013414828540984785
momentum_3m,5,0.0378586082941601
momentum_6m,5,-0.0017967253912224614
realized_vol_252d,5,-0.020568639920679088
realized_vol_60d,5,-0.027254155351943754
roe,5,-0.014488734042423488
sales_yield,5,-0.005890004995473217
accruals,21,-0.00401609752512223
beta_to_spy,21,-0.06006394094569653
book_to_market,21,0.032583813650073144
earnings_yield,21,0.027809004757852956
free_cash_flow_yield,21,0.00683682180447854
max_drawdown_252d,21,0.07888034595060323
momentum_12_1,21,-0.023072343722738115
momentum_3m,21,0.02667538243394364
momentum_6m,21,0.012318969944219854
realized_vol_252d,21,-0.06252407479051109
realized_vol_60d,21,-0.0687743269740043
roe,21,-0.021416737330458582
sales_yield,21,0.05238427367111503
accruals,63,-0.006287934950749967
beta_to_spy,63,-0.05832741898607697
book_to_market,63,0.04081377272717882
earnings_yield,63,0.03606252835926148
free_cash_flow_yield,63,0.018401358077543683
max_drawdown_252d,63,0.06387616242588633
momentum_12_1,63,-0.009082183703911438
momentum_3m,63,0.008088594833194273
momentum_6m,63,0.020482271255790507
realized_vol_252d,63,-0.05042699675402983
realized_vol_60d,63,-0.05359764375816066
roe,63,-0.03717088173451764
sales_yield,63,0.0946820771837772
