signal_date,execution_date,execution_price_model,optimizer_status,warning,turnover,holding_count,commission,slippage,market_impact,total_cost,cost_fraction,max_adv_participation,hhi,effective_holdings
2024-01-31,2024-02-01,close,optimal,,0.999999431413556,43,99.9999431413556,499.99971570677786,275.91620613703697,875.9158649851704,0.0008759158649851704,0.0006028032016750284,0.049999919970647455,20.000032011792257
2024-02-29,2024-03-01,close,optimal,,0.062083019376864654,36,6.562341947871721,32.81170973935861,7.404685828617343,46.77873751584768,4.425501277883739e-05,8.607657529757806e-05,0.04834574910986838,20.684341817259774
2024-03-28,2024-04-01,close,optimal,,0.02601722119501715,36,2.819460691787496,14.097303458937477,2.4309405740174577,19.34770472474243,1.785353897309953e-05,1.8488348654965037e-05,0.047453116168570786,21.073431646672795
2024-04-30,2024-05-01,close,optimal,,0.0371954418087032,30,3.8763461765971075,19.381730882985533,4.185177153930025,27.443254213512663,2.6333147728210595e-05,4.0988352115974874e-05,0.046696853963954676,21.41471887532082
2024-05-31,2024-06-03,close,optimal,,0.04314972868039095,28,4.710047456772871,23.55023728386436,3.889732788275558,32.15001752891279,2.945330267209019e-05,6.880808568962489e-05,0.04520825758982859,22.11985272851989
2024-06-28,2024-07-01,close,optimal,,0.05066623196053812,30,5.754883530837577,28.774417654187875,8.88936056930957,43.41866175433502,3.82259688849187e-05,5.498666480224036e-05,0.044637966341508496,22.402454277360476
2024-07-31,2024-08-01,close,optimal,,0.05010180709213883,27,5.836351793752598,29.181758968762985,6.342407753523927,41.36051851603951,3.550568562607261e-05,6.999405574447137e-05,0.044172546566450956,22.638495575428287
2024-08-30,2024-09-03,close,optimal,,0.022853575597119896,28,2.7322761929581927,13.661380964790961,1.2806330546285887,17.67429021237774,1.4783305162743904e-05,1.725443113903643e-05,0.04423284022826268,22.607637104909386
2024-09-30,2024-10-01,close,optimal,,0.028696706968831556,27,3.5624587554915683,17.812293777457842,2.8054912653267285,24.18024379827614,1.9477934155571426e-05,3.860259983466097e-05,0.04359736010786239,22.937168615850645
2024-10-31,2024-11-01,close,optimal,,0.03945377945527379,36,5.02488183454403,25.124409172720156,5.090344561692426,35.239635568956615,2.766904487711199e-05,5.560604652635519e-05,0.043496604471092506,22.990300327111555
2024-11-29,2024-12-02,close,optimal,,0.03558898606446204,38,4.891486164976984,24.45743082488491,4.331534096356655,33.68045108621855,2.4504885916566172e-05,3.3877325025518084e-05,0.0426057686224561,23.471000109429614
2024-12-31,2025-01-02,close,optimal,,0.049091138096054275,36,6.501423575287814,32.50711787643907,7.106944830519372,46.11548628224626,3.482101541658479e-05,0.00013818393955028076,0.041868987319745365,23.884026436158898
2025-01-31,2025-02-03,close,optimal,,0.04818681194113945,37,6.345904935187121,31.7295246759356,7.312917781395378,45.3883473925181,3.44650571110058e-05,0.0001432560837387246,0.041271029595212734,24.230071549172006
2025-02-28,2025-03-03,close,optimal,,0.11382647269198162,37,14.541020584811,72.70510292405504,55.85457184104361,143.10069534990964,0.00011201859798248671,0.00032010638968058355,0.04147482707053215,24.111010717402117
2025-03-31,2025-04-01,close,optimal,,0.02394326731012937,34,2.9967311849162686,14.983655924581347,3.2293142403010595,21.209701349798678,1.6946116206296647e-05,3.49603066727946e-05,0.04108331473249227,24.34078181157843
2025-04-30,2025-05-01,close,optimal,,0.036961855552262224,36,4.7329078313949005,23.664539156974495,6.268229085896421,34.66567607426582,2.7072314892320512e-05,4.739087319781065e-05,0.04064856413689339,24.601114977450862
2025-05-30,2025-06-02,close,optimal,,0.1079839505503754,35,14.471619100154903,72.35809550077454,54.14868338170483,140.97839798263425,0.000105194893888998,0.0003895119774584304,0.039994346781838976,25.003533760778655
2025-06-30,2025-07-01,close,optimal,,0.03790802412042335,39,5.294005633806555,26.470028169032783,5.482934558606911,37.24696836144625,2.667090050002661e-05,3.649262638120274e-05,0.039629849253029356,25.2335050182801
2025-07-31,2025-08-01,close,optimal,,0.07524821063827906,38,10.454224543606763,52.27112271803379,28.562618309779573,91.28796557142013,6.570794450994508e-05,0.00018247894377512188,0.03981461691357115,25.116403911929677
2025-08-29,2025-09-02,close,optimal,,0.08868214981707956,38,12.752043094431356,63.760215472156794,41.9574953395315,118.46975390611965,8.238799372692632e-05,0.0003767176164032477,0.04030393967184247,24.811470246880848
2025-09-30,2025-10-01,close,optimal,,0.04237302039742191,39,6.241275547362194,31.206377736810975,8.514070610722412,45.961723894895584,3.1204151287987754e-05,6.68813099689789e-05,0.04003744596371746,24.976618161563433
2025-10-31,2025-11-03,close,optimal,,0.05857619060758741,40,8.573253579774176,42.8662678988709,11.071564366254123,62.5110858448992,4.271028782091061e-05,7.32001886663106e-05,0.040090942720622816,24.94328973425709
2025-11-28,2025-12-01,close,optimal,,0.03150901932588985,37,4.634870707683105,23.174353538415524,7.014669350463515,34.823893596562144,2.3674160630153022e-05,6.25611426462718e-05,0.04011462457603355,24.92856434701496
