category,metric,value
performance,total_return,0.46717990647428764
performance,gross_total_return,0.4697647477058351
performance,net_total_return,0.46717990647428764
performance,benchmark_total_return,0.4351664289665711
performance,cagr,0.21219733660332651
performance,annualized_volatility,0.14199307096086558
performance,downside_volatility,0.09383605452133426
performance,sharpe_ratio,1.426517361652347
performance,sortino_ratio,2.1586114419799696
performance,calmar_ratio,1.1969302123399101
performance,omega_ratio,1.2963887317078244
performance,max_drawdown,-0.1772846356584954
performance,var_95_daily,-0.013047342693758669
performance,cvar_95_daily,-0.01958882012819715
benchmark,alpha_annualized,0.04672620937610734
benchmark,beta,0.8028692903128225
benchmark,correlation,0.9019624841239432
benchmark,r_squared,0.8135363227670345
benchmark,tracking_error,0.06890817084367343
benchmark,information_ratio,0.12284456511766115
benchmark,up_capture,0.8590806978274885
benchmark,down_capture,0.810668986612759
portfolio,average_turnover,0.09208384104077716
portfolio,average_number_of_holdings,30.0
portfolio,cost_drag,0.0025848412315474523
portfolio,max_adv_participation,0.0005931662867985695
