category,metric,value
performance,total_return,0.3940412721113937
performance,gross_total_return,0.39641949369815843
performance,net_total_return,0.3940412721113937
performance,benchmark_total_return,0.4351664289665711
performance,cagr,0.18147685293936178
performance,annualized_volatility,0.13606490845970282
performance,downside_volatility,0.09011255054710358
performance,sharpe_ratio,1.2938592064295205
performance,sortino_ratio,1.9536549949338329
performance,calmar_ratio,1.1587577736231187
performance,omega_ratio,1.2618578750687455
performance,max_drawdown,-0.15661327765848188
performance,var_95_daily,-0.01254958054169462
performance,cvar_95_daily,-0.018624741823422972
benchmark,alpha_annualized,0.028243880563661092
benchmark,beta,0.7615256177408517
benchmark,correlation,0.8927896837646023
benchmark,r_squared,0.7970734194364987
benchmark,tracking_error,0.0721389989675515
benchmark,information_ratio,-0.2500970689266524
benchmark,up_capture,0.8117608406499791
benchmark,down_capture,0.7867633843382881
portfolio,average_turnover,0.08587072884371459
portfolio,average_number_of_holdings,34.958333333333336
portfolio,cost_drag,0.002378221586764706
portfolio,max_adv_participation,0.0006572730108152033
